ADDRESS,CITY,ZIPCODE,LOCATION,DATESOLD,MONTH,PRICE,BEDROOMS,BATHROOMS,SQFT,LOTSIZE,PRICE_PER_SQFT,HOA,HOA_MONTHLY,YEARBUILT,HOUSE_AGE,DAYS_ON_MARKET,LATITUDE,LONGITUDE
42934 Tippman Pl,Chantilly,20152,ESTATES AT ELK RUN,2021-08-16,August,830000,4,3.5,3798,6534,219,Yes,79.0,2010,11,136,38.8991094,-77.518005
13708 Country Crossing Ct,Chantilly,20151,WAVERLY CROSSING,2021-05-28,May,735000,4,2.5,3777,11566,195,Yes,20.0,1987,34,216,38.8841068,-77.4233333
13136 Willoughby Point Dr,Fairfax,22033,FOXFIELD,2021-06-08,June,800000,4,3.5,3280,7899,244,Yes,84.0,1986,35,205,38.89114420000001,-77.40387390000001
13905 Castle Ct,Chantilly,20151,WAVERLY CROSSING,2021-01-12,January,705000,3,3.5,2629,12524,268,Yes,20.0,1985,36,352,38.8766282,-77.4280855
4604 Fillingame Dr,Chantilly,20151,BROOKFIELD,2021-04-05,April,685000,5,3.5,2344,16021,292,Yes,3.0,1983,38,269,38.8747848,-77.4272113
25640 Harvest Hills Dr,Chantilly,20152,POLAND HILL,2021-05-17,May,941050,4,3.5,3618,8276,260,Yes,125.0,2021,0,227,38.910959000000005,-77.4956332
27125 Post Time Ct,Chantilly,20152,CEDAR CREST,2021-03-17,March,1460000,6,6.0,7929,182952,184,Yes,75.0,2004,17,288,38.8675482,-77.5182738
27132 Post Time Ct,Chantilly,20152,CEDAR CREST,2021-05-28,May,1270000,4,5.0,5802,142441,219,Yes,75.0,2004,17,216,38.8671394,-77.51746750000001
42698 Cedar Ridge Blvd,Chantilly,20152,CEDAR CREST,2021-02-24,February,1350000,7,7.0,7276,133294,186,Yes,75.0,2004,17,309,38.8671095,-77.5266728
27114 Stable Ct,Chantilly,20152,CEDAR CREST,2021-04-23,April,1275000,6,5.5,7034,135472,181,Yes,75.0,2004,17,251,38.8681411,-77.5207824
26794 Barnsley Pl,Chantilly,20152,BURY,2021-01-11,January,838000,4,3.0,4400,21780,190,Yes,100.0,2017,4,353,38.8770889,-77.5425377
26954 Barnsley Pl,Chantilly,20152,MARBURY,2021-05-13,May,1325000,6,6.5,7346,16117,180,Yes,100.0,2018,3,231,38.8709949,-77.5429465
25778 Aythorne Ln,Chantilly,20152,SOUTH RIDING,2021-01-11,January,758000,4,3.5,4605,18731,165,Yes,89.0,1999,22,353,38.9037667,-77.49181850000001
25520 Heathfield Cir,Chantilly,20152,SOUTH RIDING,2021-05-03,May,739000,4,3.5,2951,6534,250,Yes,79.0,1996,25,241,38.9116376,-77.5114422
25888 Quinlan St,Chantilly,20152,SOUTH RIDING,2021-05-14,May,985000,5,4.5,5142,8712,192,Yes,80.0,2004,17,230,38.901098299999994,-77.5109494
25639 Taylor Crescent Dr,Chantilly,20152,POLAND HILL,2021-02-12,February,880790,4,4.5,3636,5663,242,Yes,124.0,2021,0,321,38.909223700000005,-77.4974067
43446 Randfield Ln,Chantilly,20152,SOUTH RIDING,2021-05-12,May,735000,4,2.5,2734,9583,269,Yes,94.0,1998,23,232,38.89011970000001,-77.5001074
43334 Snead Ln,Chantilly,20152,SOUTH RIDING,2021-05-03,May,922000,4,4.5,4466,11761,206,Yes,78.0,1999,22,241,38.8936904,-77.5035797
43435 Mink Meadows St,Chantilly,20152,SOUTH RIDING,2021-04-30,April,792000,4,3.5,3722,9148,213,Yes,79.0,1998,23,244,38.8931626,-77.50037629999999
42630 Harris St,Chantilly,20152,SOUTH RIDING,2021-05-06,May,655500,4,3.5,2799,5227,234,Yes,93.0,2002,19,238,38.91408870000001,-77.52825179999999
42595 Pelican Dr,Chantilly,20152,SOUTH RIDING,2021-03-31,March,690000,3,3.5,2908,7405,237,Yes,93.0,2004,17,274,38.919675700000006,-77.5296739
43241 Darkwoods St,Chantilly,20152,SOUTH RIDING,2021-04-06,April,800000,4,3.5,2932,7841,273,Yes,79.0,1996,25,268,38.9180217,-77.5069622
43421 Valleyvista Ln,Chantilly,20152,VALLEY VISTA,2021-04-15,April,604000,3,2.0,1728,35719,350,No,0.0,2002,19,259,38.9184109,-77.50091390000001
25959 Krebs Ln,Chantilly,20152,SOUTH RIDING,2021-02-26,February,999999,5,3.5,4382,16117,228,Yes,94.0,2000,21,307,38.8994664,-77.49625429999999
4904 Fox Creek Ct,Chantilly,20151,BIG ROCKY FOREST,2021-06-21,June,860000,5,3.5,4110,9093,209,Yes,12.0,1993,28,192,38.8588896,-77.4170788
4017 Lees Corner Rd,Chantilly,20151,BROOKFIELD,2021-04-30,April,506000,4,2.0,1900,9450,266,No,0.0,1965,56,244,38.8852693,-77.4140972
43388 Cedar Pond Pl,Chantilly,20152,TALL CEDAR ESTATES,2021-08-06,August,1110000,5,4.5,5234,21780,212,Yes,95.0,2004,17,146,38.9100012,-77.5013395
42436 Leeds Field Dr,Chantilly,20152,EASTVIEW AT STONE RIDGE,2021-04-28,April,865000,4,4.5,3442,6098,251,Yes,95.0,2017,4,246,38.929125299999995,-77.5346009
25448 Carrington Dr,Chantilly,20152,SOUTH RIDING,2021-06-15,June,825000,5,3.5,4432,8276,186,Yes,78.0,2002,19,198,38.91648970000001,-77.5271432
15226 Philip Lee Rd,Chantilly,20151,PLEASANT VALLEY,2021-04-20,April,665999,4,2.5,2167,26038,307,No,0.0,1983,38,254,38.8986758,-77.47600059999999
25842 Sarazen Dr,Chantilly,20152,POLAND ROAD PROPERTY,2021-07-20,July,865000,4,4.5,4580,10019,189,Yes,103.0,2006,15,163,38.9034362,-77.50304200000001
25225 Riding Center Dr,Chantilly,20152,SOUTH RIDING,2021-08-12,August,793000,4,3.5,3604,6970,220,Yes,94.0,2007,14,140,38.9198568,-77.5358103
25439 Stribling Orchard Ct,Chantilly,20152,WHITMAN PROPERTY NORTH,2021-02-24,February,856419,4,4.5,3934,6098,218,Yes,189.0,2020,1,309,38.9136941,-77.5439648
42553 Flemming Dr,Chantilly,20152,CEDAR HUNT,2021-05-10,May,1355000,6,5.5,6445,25700,210,Yes,80.0,2005,16,234,38.908067700000004,-77.5309953
42962 Appaloosa Trail Ct,Chantilly,20152,CEDAR CREST,2021-04-23,April,1200000,4,4.5,5752,130680,209,Yes,75.0,2005,16,251,38.871641700000005,-77.51746750000001
26181 Iverson Dr,Chantilly,20152,SOUTH RIDING,2021-01-19,January,685000,5,3.5,3524,7405,194,Yes,79.0,2000,21,345,38.8934526,-77.4926698
25906 Sarazen Dr,Chantilly,20152,SOUTH RIDING,2021-03-31,March,860000,4,3.5,4863,8276,177,Yes,80.0,1997,24,274,38.900746000000005,-77.5032436
43320 Burke Dale St,Chantilly,20152,SOUTH RIDING,2021-02-16,February,830000,4,3.5,3439,7405,241,Yes,80.0,1998,23,317,38.901422100000005,-77.5024372
42616 Anabell Ln,Chantilly,20152,SOUTH RIDING,2021-03-12,March,650000,5,3.5,2904,6970,224,Yes,94.0,2002,19,293,38.9144514,-77.5289125
13529 Leith Ct,Chantilly,20151,ARMFIELD ESTATES,2021-03-18,March,625000,3,2.5,1948,8540,321,Yes,70.0,1986,35,287,38.888883899999996,-77.41629420000001
13505 Oak Ivy Ln,Fairfax,22033,FRANKLIN GLEN,2021-02-17,February,740000,4,2.5,3197,10601,231,Yes,81.0,1985,36,316,38.900985299999995,-77.41490429999999
13518 Ellendale Dr,Chantilly,20151,BROOKFIELD,2021-03-18,March,520000,5,2.5,2006,9701,259,No,0.0,1972,49,287,38.8818148,-77.41373850000001
13662 Kew Garden Ct,Chantilly,20151,ARMFIELD FARMS,2021-04-09,April,804000,4,3.5,3784,14525,212,Yes,68.0,1986,35,265,38.9011286,-77.4191637
3706 Sumter Ct,Fairfax,22033,FOXFIELD,2021-02-22,February,715000,4,3.5,2408,6025,297,Yes,80.0,1988,33,311,38.8926396,-77.4015646
13431 Marble Rock Dr,Chantilly,20151,POPLAR TREE,2021-01-08,January,830000,4,3.5,4530,12782,183,Yes,42.0,1988,33,356,38.86217070000001,-77.40938919999999
4306 Woodward Ct,Chantilly,20151,WAVERLY CROSSING,2021-05-12,May,920000,5,3.5,4712,16073,195,Yes,21.0,1988,33,232,38.882203100000005,-77.4281562
4769 Sun Orchard Dr,Chantilly,20151,PARKSIDE MANOR,2021-03-02,March,990000,4,3.5,3273,13012,302,Yes,50.0,1999,22,303,38.8651222,-77.41876020000001
13638 Bennet Pond Ct,Chantilly,20151,THE PRESERVE AT WYNMAR,2021-05-03,May,1215000,5,5.5,5978,11359,203,Yes,58.0,2001,20,241,38.8637706,-77.4212933
13626 Clary Sage Dr,Chantilly,20151,ARMFIELD FARMS,2021-05-04,May,735000,4,2.5,3348,6380,220,Yes,68.0,1988,33,240,38.9051626,-77.42189859999999
13696 Southernwood Ct,Chantilly,20151,ARMFIELD FARMS,2021-08-02,August,797100,4,3.5,2950,12841,270,Yes,70.0,1986,35,150,38.9001205,-77.41876020000001
26850 Winter Wren Ct,Chantilly,20152,DAWSONS CORNER,2021-01-28,January,1023000,5,4.5,6284,14375,163,Yes,134.0,2016,5,336,38.8750223,-77.5264265
25833 Racing Sun Dr,Aldie,20105,SEVEN HILLS,2021-04-26,April,869900,4,3.5,4362,7841,199,Yes,102.0,2014,7,248,38.9017674,-77.5486834
26604 Marbury Estates Dr,Chantilly,20152,MARBURY,2021-03-18,March,1050000,5,4.5,6165,13068,170,Yes,100.0,2014,7,287,38.8827196,-77.543357
43119 Center St,Chantilly,20152,SOUTH RIDING,2021-02-26,February,670000,4,3.5,2766,5227,242,Yes,93.0,1997,24,307,38.9130675,-77.5111062
43361 St Andrews St,Chantilly,20152,SOUTH RIDING,2021-02-26,February,825000,4,3.5,4680,13504,176,Yes,79.0,2000,21,307,38.892188299999994,-77.5023252
42611 Harris St,Chantilly,20152,SOUTH RIDING,2021-04-30,April,735000,4,2.5,2893,7405,254,Yes,79.0,2002,19,244,38.9135565,-77.5291812
25644 Harvest Hills Dr,Chantilly,20152,POLAND HILL,2021-05-24,May,966445,4,3.5,3618,7841,267,Yes,125.0,2021,0,220,38.910959000000005,-77.4956332
4109 Hamlin Ave,Chantilly,20151,BROOKFIELD,2021-07-30,July,580000,4,4.0,2400,8500,242,No,0.0,1971,50,153,38.8867532,-77.4218089
13410 Poplar Woods Ct,Chantilly,20151,HUNTERS RUN,2021-06-30,June,801000,4,3.5,3464,9281,231,Yes,23.0,1989,32,183,38.8765161,-77.4101066
13643 Bellerose Dr,Chantilly,20151,ARMFIELD FARMS,2021-06-23,June,550000,4,2.0,1788,6266,308,Yes,70.0,1986,35,190,38.89537070000001,-77.4168322
43593 Casters Pond Ct,Chantilly,20152,POLAND HILL,2021-05-21,May,875725,4,4.5,3950,5528,222,Yes,125.0,2021,0,223,38.90854823,-77.49506321
4519 Gaston St,Chantilly,20151,WALNEY ROAD SUBDIVISION,2021-06-30,June,850000,4,3.5,3814,10745,223,No,0.0,1998,23,183,38.8802973,-77.4322548
25534 Chilmark Dr,Chantilly,20152,SOUTH RIDING,2021-08-27,August,755000,4,3.5,3669,6970,206,Yes,80.0,1997,24,125,38.9105819,-77.5091126
25901 Rickmansworth Ln,Chantilly,20152,SOUTH RIDING,2021-07-31,July,850000,4,3.5,3973,7405,214,Yes,94.0,1998,23,152,38.9005886,-77.5010483
4362 Silas Hutchinson Dr,Chantilly,20151,PLEASANT VALLEY,2021-09-07,September,600000,5,2.5,1708,10581,351,No,0.0,1983,38,114,38.8966658,-77.4748803
25462 Gimbel Dr,Chantilly,20152,SOUTH RIDING,2021-04-23,April,815000,4,3.5,4095,6534,199,Yes,80.0,2002,19,251,38.9130223,-77.5277703
13610 Brockmeyer Ct,Chantilly,20151,ARMFIELD FARMS,2021-05-20,May,717000,4,3.5,3493,6303,205,Yes,70.0,1989,32,224,38.9018583,-77.42032940000001
42352 Astors Beachwood Ct,Chantilly,20152,PROVIDENCE RIDGE,2021-06-04,June,971000,4,3.5,3501,22216,277,Yes,81.0,2005,16,209,38.9239818,-77.5369972
43191 Maple Cross St,Chantilly,20152,SOUTH RIDING,2021-07-16,July,790000,4,3.5,4011,10019,197,Yes,79.0,1997,24,167,38.909436299999996,-77.5092918
25525 Upper Clubhouse Dr,Chantilly,20152,SOUTH RIDING,2021-09-03,September,745000,4,2.5,2760,7405,270,Yes,79.0,1996,25,118,38.9108049,-77.508575
42933 Spyder Pl,Chantilly,20152,ESTATES AT ELK RUN,2021-09-03,September,755000,4,3.5,2756,6534,274,Yes,85.0,2009,12,118,38.89973320000001,-77.5183858
25621 Harvest Hills Dr,Chantilly,20152,POLAND HILL,2021-06-11,June,972199,4,4.5,4439,5227,219,Yes,125.0,2021,0,202,38.9077223,-77.4952787
26844 Cobalt Ln,Chantilly,20152,CLARKE ASSEMBLAGE,2021-07-31,July,1260000,6,4.5,5087,39204,248,Yes,72.0,2019,2,152,38.875014,-77.52928399999999
43349 Royal Burkedale St,Chantilly,20152,SOUTH RIDING,2021-06-30,June,825000,4,3.5,4377,9583,188,Yes,80.0,1999,22,183,38.8941127,-77.50284040000001
4309 Poplar Forest Ct,Chantilly,20151,HUNTERS RUN,2021-03-12,March,740000,5,3.5,2128,10475,348,Yes,27.0,1991,30,293,38.8768282,-77.413335
13800 Leighfield St,Chantilly,20151,BROOKFIELD,2021-03-15,March,655000,3,2.5,2262,15426,290,Yes,3.0,1980,41,290,38.875136,-77.42324359999999
13800 Eden Way,Chantilly,20151,WAVERLY CROSSING,2021-03-15,March,865000,4,3.5,4376,11668,198,Yes,21.0,1987,34,290,38.8815251,-77.4241627
3648 Beech Down Dr,Chantilly,20151,ARMFIELD FARMS,2021-02-26,February,675000,3,3.0,1544,8120,437,Yes,70.0,1985,36,307,38.8990289,-77.4194327
26263 Ocala Cir,Chantilly,20152,SOUTH RIDING,2021-01-15,January,750000,4,3.5,3448,7405,218,Yes,79.0,1999,22,349,38.890578399999995,-77.49432759999999
25802 Gertrudes View Way,Chantilly,20152,RIDINGS AT BLUE SPRING,2021-02-15,February,789900,4,3.5,3662,9583,216,Yes,110.0,2005,16,318,38.903688700000004,-77.48702409999999
14055 Eagle Chase Cir,Chantilly,20151,WALNEY ROAD SUBDIVISION,2021-07-12,July,825000,5,3.5,3604,8891,229,Yes,55.0,1998,23,171,38.8779672,-77.43041679999999
4705 Autumn Glory Way,Chantilly,20151,MAPLE HILL ESTATES,2021-06-16,June,1256000,4,4.5,5845,14766,215,Yes,62.0,1999,22,197,38.868472,-77.42165200000001
4509 Waverly Crossing Ln,Chantilly,20151,WAVERLY CROSSING,2021-05-04,May,730000,5,3.5,1824,10866,400,Yes,21.0,1985,36,240,38.8779934,-77.4284442
14001 Westbrook Pl,Chantilly,20151,WAVERLY CROSSING,2021-05-12,May,885000,5,3.5,4724,11306,187,Yes,21.0,1988,33,232,38.8819086,-77.4293407
13898 Ferrara Ct,Chantilly,20151,POPLAR PARK,2021-06-17,June,1075000,5,4.5,4568,15833,235,Yes,50.0,1992,29,196,38.8687901,-77.4260457
4029 Mapleton Dr,Chantilly,20151,BROOKEFIELD,2021-07-22,July,530000,3,1.5,1681,9306,315,No,0.0,1966,55,161,38.884522100000005,-77.4162718
4701 Logwood Ln,Chantilly,20151,POPLAR TREE,2021-07-01,July,623000,4,2.5,2482,11502,251,Yes,42.0,1981,40,182,38.866905700000004,-77.41373850000001
3519 Majestic Pine Ln,Fairfax,22033,FRANKLIN GLEN,2021-06-09,June,815000,5,3.5,3866,12030,211,Yes,89.0,1987,34,204,38.8958297,-77.40557779999999
43057 Edgewater St,Chantilly,20152,SOUTH RIDING,2021-01-15,January,635000,4,2.5,2126,7405,299,Yes,94.0,2002,19,349,38.901574100000005,-77.5138613
42534 Neighborly Ln,Chantilly,20152,SOUTH RIDING,2021-01-15,January,760000,5,4.5,4760,6534,160,Yes,94.0,2010,11,349,38.9214217,-77.5318911
15203 Louis Mill Dr,Chantilly,20151,PLEASANT VALLEY,2021-01-04,January,545000,4,2.5,2776,11923,196,No,0.0,1982,39,360,38.899356700000006,-77.4722811
42236 Sweet Ct,Chantilly,20152,LITTLE RIVER COMMONS,2021-01-08,January,685000,4,2.5,3235,6970,212,Yes,92.0,2008,13,356,38.922425200000006,-77.5419239
4515 Gaston St,Chantilly,20151,WALNEY ROAD SUBDIVISION,2021-01-06,January,840000,4,3.5,5252,10053,160,Yes,55.0,1999,22,358,38.8805343,-77.43277040000001
4053 Carbury Ct,Chantilly,20151,BROOKFIELD,2021-02-19,February,707000,5,4.0,4239,10423,167,No,0.0,1979,42,314,38.8847357,-77.41104820000001
13562 Tabscott Dr,Chantilly,20151,BROOKFIELD,2021-06-01,June,645000,5,2.5,2550,10260,253,No,0.0,1974,47,212,38.8826547,-77.413335
26019 Kimberly Rose Dr,Chantilly,20152,ESTATES AT ELK RUN,2021-05-10,May,905000,5,4.5,4482,9148,202,Yes,79.0,2011,10,234,38.8979652,-77.5183858
4909 Fox Creek Ct,Chantilly,20151,BIG ROCKY FOREST,2021-06-25,June,1050000,5,4.5,4712,9154,223,Yes,12.0,1994,27,188,38.8595515,-77.4166977
4405 Galesbury Ln,Chantilly,20151,WAVERLY CROSSING,2021-05-28,May,923000,5,3.5,4672,10719,198,Yes,21.0,1987,34,216,38.87992020000001,-77.4258438
13712 Mcgill Dr,Chantilly,20151,BROOKFIELD,2021-05-27,May,515000,3,2.0,1216,10420,424,No,0.0,1968,53,217,38.8763627,-77.4212261
4313 Lees Corner Rd,Chantilly,20151,BROOKFIELD,2021-07-19,July,500000,4,3.0,1888,8403,265,No,0.0,1966,55,164,38.8795205,-77.4218089
4406 Lees Corner Rd,Chantilly,20151,BROOKFIELD,2021-07-29,July,555000,3,3.0,1352,11318,411,No,0.0,1968,53,154,38.8782498,-77.423423
13600 Post Oak Ct,Chantilly,20151,SUTTON OAKS,2021-04-30,April,910000,5,3.0,3803,14286,239,Yes,17.0,1988,33,244,38.870554999999996,-77.41808759999999
42888 Appaloosa Trail Ct,Chantilly,20152,CEDAR CREST,2021-05-21,May,1200000,4,4.5,5728,131116,209,Yes,75.0,2005,16,223,38.872395399999995,-77.5199761
25130 Beach Pl,Chantilly,20152,LITTLE RIVER COMMONS,2021-04-08,April,1000000,5,4.5,5533,8000,181,Yes,92.0,2009,12,266,38.9221911,-77.5432899
43111 Center St,Chantilly,20152,SOUTH RIDING,2021-08-27,August,661000,4,2.5,2500,6534,264,Yes,93.0,1997,24,125,38.913106299999995,-77.5114646
25911 Sarazen Dr,Chantilly,20152,SOUTH RIDING,2021-07-02,July,805000,4,2.5,3124,6534,258,Yes,79.0,1997,24,181,38.9005279,-77.5038261
42095 Westcote Ct,Chantilly,20152,MARBURY,2021-06-18,June,1335000,6,6.5,6681,15682,200,Yes,100.0,2017,4,195,38.8742326,-77.54782409999999
25917 Flintonbridge Dr,Chantilly,20152,SOUTH RIDING,2021-02-17,February,695000,5,3.5,2858,7841,243,Yes,80.0,2000,21,316,38.8988483,-77.4949997
15111 Philip Lee Rd,Chantilly,20151,PLEASANT VALLEY,2021-08-13,August,675000,4,2.5,2294,15032,294,No,0.0,1984,37,139,38.8958173,-77.4733566
43014 Walnutgrove Ln,Chantilly,20152,MILLS FAMILY SUBDIVISION,2021-05-14,May,752000,3,2.0,1372,67954,548,No,0.0,2001,20,230,38.920083899999995,-77.51525
42935 Tippman Pl,Chantilly,20152,ESTATES AT ELK RUN,2021-07-06,July,816000,4,3.5,3734,6970,219,Yes,88.0,2010,11,177,38.898734999999995,-77.5180722
4172 Bell Rdg,Chantilly,20151,ROCKLAND VILLAGE,2021-11-18,November,735000,6,3.5,3988,3498,184,Yes,81.0,2004,17,42,38.888818,-77.4315375
42387 Fawn Meadow Pl,Chantilly,20152,DAWSONS CORNER,2021-03-09,March,975000,4,4.5,4338,13068,225,Yes,135.0,2014,7,296,38.8816885,-77.535855
42092 Mansfield Park Ct,Chantilly,20152,MARBURY,2021-08-31,August,1599990,6,6.5,7485,20038,214,Yes,100.0,2014,7,121,38.8850867,-77.54666540000001
4426 Cub Run Rd,Chantilly,20151,PLEASANT VALLEY,2021-12-03,December,517000,3,2.0,1560,10500,331,No,0.0,1985,36,27,38.8949006,-77.4726844
25745 Northern Dancer Ct,Chantilly,20152,BRIDLE RIDGE,2021-08-20,August,850000,4,3.5,3960,9583,215,Yes,85.0,2002,19,132,38.905278,-77.4946413
13523 Ellendale Dr,Chantilly,20151,BROOKFIELD,2021-12-13,December,602000,5,2.5,1920,11876,314,No,0.0,1972,49,17,38.881701899999996,-77.41454559999998
4170 Travers Ct,Chantilly,20151,ROCKLAND VILLAGE,2021-09-03,September,770000,4,4.5,4013,3701,192,Yes,81.0,2003,18,118,38.8889059,-77.4323445
4522 Fillingame Dr,Chantilly,20151,BROOKFIELD,2021-12-03,December,660000,3,2.5,2213,13091,298,Yes,3.0,1982,39,27,38.8751419,-77.42624740000001
13509 Tabscott Dr,Chantilly,20151,BROOKFIELD,2021-11-05,November,435000,4,2.0,1900,8750,229,No,0.0,1969,52,55,38.878749,-77.4143662
13452 Stream Valley Dr,Chantilly,20151,POPLAR TREE WOODS,2021-06-25,June,662000,3,3.0,2692,11582,246,Yes,10.0,1986,35,188,38.8776933,-77.40947890000001
13608 Old Chatwood,Chantilly,20151,ARMFIELD FARMS,2021-12-09,December,735000,4,2.5,2378,7059,309,Yes,70.0,1989,32,21,38.9036016,-77.418267
13628 Old Chatwood Pl,Chantilly,20151,ARMFIELD FARMS,2021-09-29,September,810000,5,3.5,4091,8786,198,Yes,70.0,1990,31,92,38.902983,-77.42032940000001
13899 Ferrara Ct,Chantilly,20151,POPLAR PARK,2021-10-01,October,1150000,4,3.5,3478,16625,331,Yes,50.0,1992,29,90,38.868298100000004,-77.425956
42655 Iron Bit Pl,Chantilly,20152,CEDAR CREST,2021-12-16,December,1521000,6,5.5,7861,130680,193,Yes,75.0,2004,17,14,38.8622004,-77.5283078
42509 Flemming Dr,Chantilly,20152,CEDAR HUNT,2021-09-15,September,1430000,6,5.5,8308,22216,172,Yes,79.0,2007,14,106,38.9063783,-77.5339515
42281 Magistrate Ct,Chantilly,20152,SOUTH RIDING,2021-08-25,August,990000,4,4.5,4748,10019,209,Yes,79.0,2010,11,127,38.9112986,-77.5410057
42477 Lennox Ct,Chantilly,20152,CEDAR HUNT,2021-07-08,July,1202000,6,5.5,7954,31799,151,Yes,79.0,2005,16,175,38.9081268,-77.5337723
42366 Ponderosa Dr,Chantilly,20152,PROVIDENCE RIDGE,2021-10-01,October,975000,5,5.0,4557,25700,214,Yes,82.0,2005,16,90,38.9253986,-77.5361686
25767 Tullow Pl,Chantilly,20152,POLAND ROAD PROPERTY,2021-11-12,November,1100000,5,4.5,5954,9583,185,Yes,103.0,2005,16,48,38.9039393,-77.50546130000001
42612 Mandolin St,Chantilly,20152,SOUTH RIDING,2021-11-19,November,945000,4,3.5,3980,9583,237,Yes,80.0,2003,18,41,38.9153466,-77.5292036
25516 Upper Clubhouse Dr,Chantilly,20152,SOUTH RIDING,2021-10-15,October,715000,4,2.5,2104,10019,340,Yes,79.0,1996,25,76,38.911108299999995,-77.5080374
25804 Spring Farm Cir,Chantilly,20152,BLUE SPRING FARM,2021-09-22,September,930000,4,4.5,5161,20909,180,Yes,93.0,2003,18,99,38.902843,-77.49033990000001
43580 Majestic Prince Pl,Chantilly,20152,BRIDLE RIDGE,2021-10-12,October,863500,4,3.5,3752,8276,230,Yes,85.0,2003,18,79,38.9049866,-77.4960302
25905 Rickmansworth Ln,Chantilly,20152,SOUTH RIDING,2021-11-12,November,830000,5,4.5,4900,6534,169,Yes,94.0,2006,15,48,38.9004583,-77.50095870000001
43360 Burke Dale St,Chantilly,20152,SOUTH RIDING,2021-12-08,December,853000,4,3.5,2920,8276,292,Yes,80.0,1996,25,22,38.9025313,-77.50062270000001
3821 Dittany Ct,Chantilly,20151,ARMFIELD FARMS,2021-11-22,November,605000,4,2.5,2125,6630,285,Yes,70.0,1986,35,38,38.895055299999996,-77.4165184
13910 Poplar Tree Rd,Chantilly,20151,BROOKFIELD,2021-09-10,September,675000,6,3.5,3203,10500,211,Yes,2.0,1983,38,111,38.871480299999995,-77.4276821
13616 Flintwood Pl,Oak Hill,20171,FRANKLIN FARM,2021-10-15,October,751000,4,2.5,2772,11664,271,Yes,83.0,1982,39,76,38.911322999999996,-77.4201949
43885 Churchill Glen Dr,Chantilly,20152,THE RIDINGS AT BLUE SPRING,2021-10-14,October,1100012,5,4.5,5448,9583,202,Yes,110.0,2005,16,77,38.9033063,-77.4816469
25454 Gimbel Dr,Chantilly,20152,SOUTH RIDING,2021-08-31,August,850000,6,4.0,4199,6534,202,Yes,80.0,2002,19,121,38.913321200000006,-77.52774790000001
42524 Mandolin St,Chantilly,20152,SOUTH RIDING,2021-11-16,November,1020000,4,4.5,6368,8712,160,Yes,80.0,2005,16,44,38.9171955,-77.5314432
25240 Edenfield Ln,Chantilly,20152,SOUTH RIDING,2021-08-24,August,834700,4,3.5,4616,6970,181,Yes,93.0,2012,9,128,38.919375200000005,-77.53321240000001
25891 Mckinzie Ln,Chantilly,20152,SOUTH RIDING,2021-10-15,October,935000,4,4.5,4729,16117,198,Yes,93.0,1998,23,76,38.900851200000005,-77.5066262
4109 Lees Cor,Chantilly,20151,BROOKFIELD,2021-10-04,October,520000,4,2.5,1664,9450,313,No,0.0,1965,56,87,38.884181299999995,-77.4151733
4013 Mapleton Dr,Chantilly,20151,BROOKFIELD,2021-06-07,June,560000,4,2.0,2124,8400,264,No,0.0,1966,55,206,38.8857287,-77.4149939
25586 South Village Dr,Chantilly,20152,SOUTH VILLAGE,2021-09-27,September,985000,4,4.5,5100,7841,193,Yes,103.0,2005,16,94,38.9047752,-77.5159668
5006 Pleasant Valley Rd,Chantilly,20151,GLADYS E STEPHENS,2021-05-21,May,910000,3,2.0,1805,246702,504,No,0.0,1950,71,223,38.883916299999996,-77.483413
4392 Poplar Tree Ct,Chantilly,20151,POPLAR ESTATES,2021-05-07,May,791999,5,3.5,2540,8506,312,No,0.0,1987,34,237,38.8766531,-77.4165184
4525 Fillingame Dr,Chantilly,20151,BROOKFIELD,2021-07-21,July,667000,4,2.5,2344,10500,285,Yes,3.0,1983,38,162,38.8745597,-77.4260681
25813 Spring Farm Cir,Chantilly,20152,BLUE SPRING FARM,2021-05-06,May,925000,5,4.5,4528,26136,204,Yes,124.0,2004,17,238,38.902859899999996,-77.491236
25520 Poland Rd,Chantilly,20152,PLEASANT VALLEY,2021-10-22,October,555000,4,2.0,1260,33977,440,No,0.0,1950,71,69,38.911029299999996,-77.4980232
4523 Cub Run Rd,Chantilly,20151,PLEASANT VALLEY,2021-09-15,September,516750,4,2.0,1502,10500,344,No,0.0,1983,38,106,38.89643770000001,-77.4783309
13515 Lee Jackson Memorial Hwy,Chantilly,20151,BROOKFIELD,2021-10-01,October,475000,3,2.0,1216,9887,391,No,0.0,1967,54,90,38.887126200000004,-77.41454559999998
4360 Silas Hutchinson Dr,Chantilly,20151,PLEASANT VALLEY,2021-12-07,December,638000,4,2.5,1708,10800,374,No,0.0,1983,38,23,38.8969263,-77.4750595
13610 Flintwood Pl,Herndon,20171,FRANKLIN FARM,2021-04-27,April,755000,4,2.5,2272,17924,332,Yes,90.0,1982,39,247,38.911620899999996,-77.419612
26211 Ocala Cir,Chantilly,20152,SOUTH RIDING,2021-12-10,December,649000,4,3.5,2694,5227,241,Yes,94.0,1999,22,20,38.8921848,-77.4932075
43421 Bettys Farm Dr,Chantilly,20152,POLAND HILL,2021-12-29,December,692890,3,2.5,2592,5227,267,Yes,268.0,2021,0,1,38.906945,-77.50119000000001
